Filename,Mean Brightness,Std Brightness,Max Brightness,Min Brightness,Hue Hist Feature 1,Hue Hist Feature 2,Hue Std,Contrast,Mean Saturation,Std Saturation,Max Saturation,Min Saturation,SIFT Features,Texture Contrast,Texture Dissimilarity,Texture Homogeneity,Texture Energy,Texture Correlation,Texture ASM,Excess Green Index,Excess Red Index,CIVE,ExG-ExR Ratio,CIVE Ratio,0%,25%,50%,75%,best_network
frame_151.jpg,165.969,21.345,249.0,51.0,19,160.0,21.399,0.12,69.821,25.135,255.0,0.0,1623,0.3413802592954988,0.2906372309197652,0.8596709960737203,0.4005695056709937,0.901036295703246,0.1604559288735043,61,55.0,-2.7155500000000004,0.867340087890625,0.7836036682128906,0.6754468,0.6664066,0.65141857,0.598494,0%
frame_152.jpg,163.054,24.534,249.0,35.0,20,302.0,23.078,0.129,73.951,27.677,250.0,0.0,1713,0.371151082436399,0.3029560604207435,0.8551894306047645,0.3902088685751695,0.9190064676974228,0.1522629611147139,65,49.19999999999999,-4.4625500000000144,0.8398551940917969,0.7451400756835938,0.5082838,0.46145514,0.4918998,0.4033852,0%
frame_153.jpg,162.285,25.39,250.0,36.0,20,351.0,22.396,0.125,77.191,28.404,250.0,0.0,1776,0.3947758683953029,0.3193110934442267,0.8477566260525434,0.3758515330012156,0.9214957908377638,0.1412643748593638,62,55.99999999999997,-3.031549999999996,0.8060111999511719,0.7308845520019531,0.5359221,0.4845185,0.5341151,0.43396056,0%
frame_154.jpg,163.754,25.595,251.0,44.0,20,291.0,24.644,0.138,74.903,29.246,251.0,0.0,1910,0.4005014677103717,0.3237677348336593,0.8456482968582579,0.3603434813845532,0.919500696402372,0.1298474245763398,64,53.99999999999997,-3.8695499999999967,0.8168106079101562,0.7158470153808594,0.58306473,0.4982289,0.5549394,0.4555671,0%
frame_155.jpg,161.143,26.201,248.0,32.0,18,355.0,27.832,0.155,72.766,31.217,229.0,0.0,2242,0.4287778253424659,0.3525180406066537,0.8313125623998283,0.3334339041985037,0.91209129475432,0.1111781684690569,70,42.6,-6.638550000000016,0.8448104858398438,0.6947212219238281,0.6494185,0.60348576,0.6407855,0.53056765,0%
frame_156.jpg,159.216,25.556,249.0,60.0,18,355.0,23.942,0.134,74.995,29.658,255.0,0.0,2152,0.4177661753913894,0.3466357326320939,0.8337140720190866,0.3621138149896178,0.9108467439334816,0.1311264150063352,71,50.79999999999998,-6.719550000000012,0.8351783752441406,0.7147560119628906,0.515646,0.49194354,0.5009687,0.41219157,0%
frame_157.jpg,168.869,21.419,252.0,49.0,14,279.0,15.838,0.088,70.609,21.986,230.0,0.0,1599,0.3531028314579252,0.3051499816536202,0.8521613661969529,0.3944385802452906,0.8986398105122221,0.1555817935859205,70,51.39999999999998,-6.308550000000004,0.808929443359375,0.7777824401855469,0.39347383,0.36733326,0.35025814,0.2606506,0%
frame_158.jpg,168.416,20.126,252.0,77.0,14,430.0,11.933,0.067,74.524,19.956,255.0,0.0,974,0.283608274217221,0.2567461166829745,0.8743072218185222,0.4206247168848897,0.9090236535135098,0.1769251524544936,255,19.599999999999994,19.79545000000001,0.9384384155273438,0.90509033203125,0.32025555,0.335631,0.2979298,0.22626922,25%
frame_159.jpg,160.603,24.007,250.0,53.0,18,416.0,17.798,0.099,81.911,25.949,245.0,0.0,1411,0.3415522566046964,0.292590355919765,0.8585597120005795,0.3814272202694511,0.9213196979353254,0.1454867243624804,73,39.19999999999999,-7.95955,0.8172836303710938,0.7980194091796875,0.32331058,0.27798906,0.30563566,0.19877535,0%
frame_160.jpg,162.446,22.765,252.0,54.0,19,288.0,16.579,0.093,70.774,22.299,255.0,0.0,1460,0.3475798067514676,0.3017979452054794,0.8536560107775989,0.3853668114685026,0.9136433779404072,0.1485075793814004,65,42.19999999999999,-4.74255000000003,0.8872718811035156,0.8179817199707031,0.32358295,0.30684656,0.2721349,0.1733452,0%
frame_161.jpg,167.592,24.16,250.0,50.0,20,339.0,17.74,0.099,73.108,24.289,234.0,0.0,1750,0.3786769202544028,0.3207864481408999,0.8453151530303896,0.3718592242087526,0.916279525790862,0.1382792826291353,56,61.599999999999966,-0.5115500000000068,0.7910346984863281,0.7615585327148438,0.38979974,0.34639436,0.35371128,0.2578963,0%
frame_162.jpg,169.752,21.191,251.0,69.0,17,427.0,11.685,0.065,73.921,20.569,249.0,0.0,1360,0.3255985506360078,0.2880496269569472,0.8596901070260823,0.4040771959121829,0.9075312253362192,0.1632783802562526,71,37.599999999999966,-7.263550000000002,0.9357948303222656,0.903564453125,0.27046773,0.29752654,0.24432462,0.18398966,25%
frame_163.jpg,167.83,22.208,251.0,61.0,16,302.0,17.339,0.097,73.447,20.687,229.0,0.0,1371,0.3432607632093933,0.297975782778865,0.8554849864076292,0.4022438947624096,0.9125177579470428,0.1618001508736324,65,44.39999999999998,-4.65655000000001,0.8486137390136719,0.8166389465332031,0.23060378,0.17837228,0.1819278,0.11552542,0%
frame_164.jpg,167.063,21.735,252.0,66.0,16,353.0,16.153,0.09,68.747,19.46,255.0,0.0,1286,0.3398055283757336,0.290568431996086,0.8595832922868828,0.4190760971036975,0.9100632692193616,0.1756247751636677,66,43.19999999999999,-5.0935500000000005,0.9055061340332032,0.846649169921875,0.25397924,0.20640844,0.17064543,0.108300045,0%
frame_165.jpg,164.808,21.779,250.0,63.0,20,23.0,15.895,0.089,72.981,20.599,255.0,0.0,1282,0.3300169704011743,0.287239328522505,0.8606249975787209,0.403371480121552,0.9114320314461216,0.1627085509754516,54,50.99999999999997,-0.163550000000022,0.8939170837402344,0.842437744140625,0.26024476,0.21816407,0.19206685,0.13440861,0%
frame_166.jpg,164.865,21.991,251.0,57.0,17,126.0,16.267,0.091,73.326,21.523,255.0,0.0,1384,0.3350431139921722,0.2902167930528376,0.8593110945847519,0.4034396836486495,0.911037707770688,0.1627635783425224,72,41.6,-7.463550000000012,0.881622314453125,0.8297080993652344,0.22568162,0.2000762,0.17884943,0.12808554,0%
frame_167.jpg,165.273,22.277,251.0,70.0,20,94.0,16.247,0.091,73.319,21.305,255.0,1.0,1439,0.3431040545499018,0.2955639982876711,0.8569357080457312,0.3968259792364907,0.9114824032425236,0.1574708577969998,72,45.19999999999999,-7.328550000000014,0.8825798034667969,0.8334274291992188,0.24952881,0.2090824,0.1881227,0.13272528,0%
frame_168.jpg,164.718,21.667,250.0,52.0,20,87.0,16.076,0.09,72.673,20.266,255.0,0.0,1320,0.3474957191780822,0.2996957558708416,0.8548847374170958,0.4130591779906902,0.905572142046016,0.1706178845223446,16,1.3999999999999773,12.550449999999984,0.8961334228515625,0.8460235595703125,0.34694982,0.29099494,0.25386667,0.17407407,0%
frame_169.jpg,162.849,20.279,251.0,49.0,17,181.0,17.411,0.097,71.053,21.364,255.0,0.0,1436,0.3420070939334637,0.2968291340508805,0.8560635476529915,0.4226834532506394,0.8952312530825325,0.1786613016518854,45,46.39999999999998,3.1394499999999965,0.8900833129882812,0.8244171142578125,0.5038014,0.44791764,0.39943224,0.28407094,0%
frame_170.jpg,160.544,20.537,251.0,61.0,20,221.0,17.99,0.101,73.117,24.316,186.0,0.0,1497,0.3761084271037181,0.3177134295499021,0.8468899492031666,0.3940299387000642,0.8900633657388148,0.1552595925919764,5,63.599999999999966,19.205449999999978,0.8449630737304688,0.7760467529296875,0.48518637,0.40558746,0.42990813,0.31158963,0%
