Filename,Hue Std Interval,Contrast Interval,CIVE Interval
frame_0056-Copia-1-_jpg.rf.b72284668751876c9351432076e858e8.jpg,2,2,3
frame_0006-Copia-1-_jpg.rf.55a659d77a886a2a9fdaf8aa4b09a50f.jpg,4,4,1
frame_0044_jpg.rf.53e4d95a4e66aa9df2ec50f8a68e4d7f.jpg,1,1,4
frame_0057_jpg.rf.88cee5058d48da760320392c6967ddde.jpg,1,1,4
frame_0030_jpg.rf.958635a5383fe52bf86390829e927f94.jpg,4,4,2
frame_0032-Copia-1-_jpg.rf.650ce490beee851c451f355956a19167.jpg,4,4,3
frame_0052-Copia-1-_jpg.rf.14b52f0f9fed47a4d242f3e82658a240.jpg,4,4,1
frame_0004-Copia-1-_jpg.rf.b5f4af5912ae2d39b61a4e8e0946f937.jpg,4,4,1
frame_0044-Copia-1-_jpg.rf.eb3767ee07c5fd952e27b57b9201dfef.jpg,4,4,1
frame_0032_jpg.rf.0b86a9b76ff0c077a130a0c6d68143ab.jpg,2,2,2
frame_0024_jpg.rf.5263c7dffcdb7ec0fd6d82c5b84097f6.jpg,2,2,3
frame_0049-Copia-1-_jpg.rf.73499de99fa4d7fd9c0c33b482949b32.jpg,4,4,1
